hotel,branch,year,quarter,title,value_or_%
Hotel Sogo,S03,2024,Q2,AFBPS/FBOG,305
Hotel Sogo,S03,2024,Q2,AFPS/G,101
Hotel Sogo,S03,2024,Q2,SPR,2156
Hotel Sogo,S03,2024,Q2,APS/G,868
Hotel Sogo,S03,2024,Q2,HPR,19
Hotel Sogo,S03,2024,Q2,ALOS,7
Hotel Sogo,S03,2024,Q2,Occupancy,0.77
Hotel Sogo,S03,2024,Q2,NOD,91
Hotel Sogo,S03,2024,Q2,Actual Hours,141514
Hotel Sogo,S03,2024,Q2,Paid Hours,159276
Hotel Sogo,S03,2024,Q2,Room,14568984
Hotel Sogo,S03,2024,Q2,F&B - Rooms,1908414
Hotel Sogo,S03,2024,Q2,F&B - Function,-
Hotel Sogo,S03,2024,Q2,F&B - Outlet,-
Hotel Sogo,S03,2024,Q2,Total Sales,16477398
Hotel Sogo,S03,2024,Q2,Average DRS,502379
Hotel Sogo,S03,2024,Q2,Average DFS,65807
Hotel Sogo,S03,2024,Q2,ADS,181070
Hotel Sogo,S03,2024,Q2,Quarterly Weighted,44
Hotel Sogo,S03,2024,Q3,ANOR,84
Hotel Sogo,S03,2024,Q3,TNOG,17792
Hotel Sogo,S03,2024,Q3,ANOG,193
Hotel Sogo,S03,2024,Q3,TOR,2
Hotel Sogo,S03,2024,Q3,TFBOG,6330
Hotel Sogo,S03,2024,Q3,AFBOG,69
Hotel Sogo,S03,2024,Q3,%FBOG,0.36
Hotel Sogo,S03,2024,Q3,ARPS/G,780
Hotel Sogo,S03,2024,Q3,AFBPS/FBOG,302
Hotel Sogo,S03,2024,Q3,AFPS/G,107
Hotel Sogo,S03,2024,Q3,SPR,2042
Hotel Sogo,S03,2024,Q3,APS/G,887
Hotel Sogo,S03,2024,Q3,HPR,17
Hotel Sogo,S03,2024,Q3,ALOS,7
Hotel Sogo,S03,2024,Q3,Occupancy,0.71
Hotel Sogo,S03,2024,Q3,NOD,92
Hotel Sogo,S03,2024,Q3,Actual Hours,131412
Hotel Sogo,S03,2024,Q3,Paid Hours,148026
Hotel Sogo,S03,2024,Q3,Room,13873465
Hotel Sogo,S03,2024,Q3,F&B - Rooms,1910390
Hotel Sogo,S03,2024,Q3,F&B - Function,-
Hotel Sogo,S03,2024,Q3,F&B - Outlet,-
Hotel Sogo,S03,2024,Q3,Total Sales,15783855
Hotel Sogo,S03,2024,Q3,Average DRS,447531
Hotel Sogo,S03,2024,Q3,Average DFS,61625
Hotel Sogo,S03,2024,Q3,ADS,171564
Hotel Sogo,S03,2024,Q3,Quarterly Weighted,48
Hotel Sogo,S03,2024,Q4,ANOR,84
Hotel Sogo,S03,2024,Q4,TNOG,17297
Hotel Sogo,S03,2024,Q4,ANOG,188
Hotel Sogo,S03,2024,Q4,TOR,2
Hotel Sogo,S03,2024,Q4,TFBOG,5913
Hotel Sogo,S03,2024,Q4,AFBOG,64
Hotel Sogo,S03,2024,Q4,%FBOG,0.34
Hotel Sogo,S03,2024,Q4,ARPS/G,785
Hotel Sogo,S03,2024,Q4,AFBPS/FBOG,326
Hotel Sogo,S03,2024,Q4,AFPS/G,111
Hotel Sogo,S03,2024,Q4,SPR,2005
Hotel Sogo,S03,2024,Q4,APS/G,896
Hotel Sogo,S03,2024,Q4,HPR,17
Hotel Sogo,S03,2024,Q4,ALOS,7
Hotel Sogo,S03,2024,Q4,Occupancy,0.69
Hotel Sogo,S03,2024,Q4,NOD,92
Hotel Sogo,S03,2024,Q4,Actual Hours,128517
Hotel Sogo,S03,2024,Q4,Paid Hours,146028
Hotel Sogo,S03,2024,Q4,Room,13571572
Hotel Sogo,S03,2024,Q4,F&B - Rooms,1924709
Hotel Sogo,S03,2024,Q4,F&B - Function,-
Hotel Sogo,S03,2024,Q4,F&B - Outlet,-
Hotel Sogo,S03,2024,Q4,Total Sales,15496281
Hotel Sogo,S03,2024,Q4,Average DRS,452386
Hotel Sogo,S03,2024,Q4,Average DFS,64157
Hotel Sogo,S03,2024,Q4,ADS,168438
Hotel Sogo,S03,2024,Q4,Quarterly Weighted,49
Hotel Sogo,S05,2024,Q1,ANOR,202
Hotel Sogo,S05,2024,Q1,TNOG,31119
Hotel Sogo,S05,2024,Q1,ANOG,342
Hotel Sogo,S05,2024,Q1,TOR,2
Hotel Sogo,S05,2024,Q1,TFBOG,8652
Hotel Sogo,S05,2024,Q1,AFBOG,95
Hotel Sogo,S05,2024,Q1,%FBOG,0.28
Hotel Sogo,S05,2024,Q1,ARPS/G,708
Hotel Sogo,S05,2024,Q1,AFBPS/FBOG,362
Hotel Sogo,S05,2024,Q1,AFPS/G,101
Hotel Sogo,S05,2024,Q1,SPR,1368
Hotel Sogo,S05,2024,Q1,APS/G,808
Hotel Sogo,S05,2024,Q1,HPR,10
Hotel Sogo,S05,2024,Q1,ALOS,6
Hotel Sogo,S05,2024,Q1,Occupancy,0.42
Hotel Sogo,S05,2024,Q1,NOD,91
Hotel Sogo,S05,2024,Q1,Actual Hours,183964
Hotel Sogo,S05,2024,Q1,Paid Hours,203580
Hotel Sogo,S05,2024,Q1,Room,22023701
Hotel Sogo,S05,2024,Q1,F&B - Rooms,3130924
Hotel Sogo,S05,2024,Q1,F&B - Function,-
Hotel Sogo,S05,2024,Q1,F&B - Outlet,-
Hotel Sogo,S05,2024,Q1,Total Sales,25154625
Hotel Sogo,S05,2024,Q1,Average DRS,710442
Hotel Sogo,S05,2024,Q1,Average DFS,100998
Hotel Sogo,S05,2024,Q1,ADS,276424
Hotel Sogo,S05,2024,Q1,Quarterly Weighted,27
Hotel Sogo,S05,2024,Q2,ANOR,202
Hotel Sogo,S05,2024,Q2,TNOG,31941
Hotel Sogo,S05,2024,Q2,ANOG,351
Hotel Sogo,S05,2024,Q2,TOR,2
Hotel Sogo,S05,2024,Q2,TFBOG,7994
Hotel Sogo,S05,2024,Q2,AFBOG,88
Hotel Sogo,S05,2024,Q2,%FBOG,0.25
Hotel Sogo,S05,2024,Q2,ARPS/G,728
Hotel Sogo,S05,2024,Q2,AFBPS/FBOG,373
Hotel Sogo,S05,2024,Q2,AFPS/G,93
Hotel Sogo,S05,2024,Q2,SPR,1428
Hotel Sogo,S05,2024,Q2,APS/G,822
Hotel Sogo,S05,2024,Q2,HPR,10
Hotel Sogo,S05,2024,Q2,ALOS,6
Hotel Sogo,S05,2024,Q2,Occupancy,0.43
Hotel Sogo,S05,2024,Q2,NOD,91
Hotel Sogo,S05,2024,Q2,Actual Hours,189442
Hotel Sogo,S05,2024,Q2,Paid Hours,219186
Hotel Sogo,S05,2024,Q2,Room,23259331
Hotel Sogo,S05,2024,Q2,F&B - Rooms,2984837
Hotel Sogo,S05,2024,Q2,F&B - Function,-
Hotel Sogo,S05,2024,Q2,F&B - Outlet,-
Hotel Sogo,S05,2024,Q2,Total Sales,26244168
Hotel Sogo,S05,2024,Q2,Average DRS,802046
Hotel Sogo,S05,2024,Q2,Average DFS,102925
Hotel Sogo,S05,2024,Q2,ADS,288397
Hotel Sogo,S05,2024,Q2,Quarterly Weighted,26
Hotel Sogo,S05,2024,Q3,ANOR,202
Hotel Sogo,S05,2024,Q3,TNOG,30483
Hotel Sogo,S05,2024,Q3,ANOG,331
Hotel Sogo,S05,2024,Q3,TOR,2
Hotel Sogo,S05,2024,Q3,TFBOG,8263
Hotel Sogo,S05,2024,Q3,AFBOG,90
Hotel Sogo,S05,2024,Q3,%FBOG,0.27
Hotel Sogo,S05,2024,Q3,ARPS/G,735
Hotel Sogo,S05,2024,Q3,AFBPS/FBOG,372
Hotel Sogo,S05,2024,Q3,AFPS/G,101
Hotel Sogo,S05,2024,Q3,SPR,1370
Hotel Sogo,S05,2024,Q3,APS/G,835
Hotel Sogo,S05,2024,Q3,HPR,10
Hotel Sogo,S05,2024,Q3,ALOS,6
Hotel Sogo,S05,2024,Q3,Occupancy,0.42
Hotel Sogo,S05,2024,Q3,NOD,92
Hotel Sogo,S05,2024,Q3,Actual Hours,186482
Hotel Sogo,S05,2024,Q3,Paid Hours,205030
Hotel Sogo,S05,2024,Q3,Room,22397064
Hotel Sogo,S05,2024,Q3,F&B - Rooms,3070880
Hotel Sogo,S05,2024,Q3,F&B - Function,-
Hotel Sogo,S05,2024,Q3,F&B - Outlet,-
Hotel Sogo,S05,2024,Q3,Total Sales,25467944
Hotel Sogo,S05,2024,Q3,Average DRS,722486
Hotel Sogo,S05,2024,Q3,Average DFS,99061
Hotel Sogo,S05,2024,Q3,ADS,276825
Hotel Sogo,S05,2024,Q3,Quarterly Weighted,28
Hotel Sogo,S05,2024,Q4,ANOR,202
Hotel Sogo,S05,2024,Q4,TNOG,34527
Hotel Sogo,S05,2024,Q4,ANOG,375
Hotel Sogo,S05,2024,Q4,TOR,2
Hotel Sogo,S05,2024,Q4,TFBOG,9251
Hotel Sogo,S05,2024,Q4,AFBOG,101
Hotel Sogo,S05,2024,Q4,%FBOG,0.27
Hotel Sogo,S05,2024,Q4,ARPS/G,761
Hotel Sogo,S05,2024,Q4,AFBPS/FBOG,373
Hotel Sogo,S05,2024,Q4,AFPS/G,100
Hotel Sogo,S05,2024,Q4,SPR,1601
Hotel Sogo,S05,2024,Q4,APS/G,861
Hotel Sogo,S05,2024,Q4,HPR,12
Hotel Sogo,S05,2024,Q4,ALOS,6
Hotel Sogo,S05,2024,Q4,Occupancy,0.48
Hotel Sogo,S05,2024,Q4,NOD,92
Hotel Sogo,S05,2024,Q4,Actual Hours,213820
Hotel Sogo,S05,2024,Q4,Paid Hours,235194
Hotel Sogo,S05,2024,Q4,Room,26289748
Hotel Sogo,S05,2024,Q4,F&B - Rooms,3454812
Hotel Sogo,S05,2024,Q4,F&B - Function,-
Hotel Sogo,S05,2024,Q4,F&B - Outlet,-
Hotel Sogo,S05,2024,Q4,Total Sales,29744560
Hotel Sogo,S05,2024,Q4,Average DRS,876325
Hotel Sogo,S05,2024,Q4,Average DFS,115160
Hotel Sogo,S05,2024,Q4,ADS,323310
Hotel Sogo,S05,2024,Q4,Quarterly Weighted,25
Hotel Sogo,S06,2024,Q1,ANOR,135
Hotel Sogo,S06,2024,Q1,TNOG,30320
Hotel Sogo,S06,2024,Q1,ANOG,333
Hotel Sogo,S06,2024,Q1,TOR,2
Hotel Sogo,S06,2024,Q1,TFBOG,10292
Hotel Sogo,S06,2024,Q1,AFBOG,113
Hotel Sogo,S06,2024,Q1,%FBOG,0.34
Hotel Sogo,S06,2024,Q1,ARPS/G,628
Hotel Sogo,S06,2024,Q1,AFBPS/FBOG,303
Hotel Sogo,S06,2024,Q1,AFPS/G,103
Hotel Sogo,S06,2024,Q1,SPR,1803
Hotel Sogo,S06,2024,Q1,APS/G,731
Hotel Sogo,S06,2024,Q1,HPR,14
Hotel Sogo,S06,2024,Q1,ALOS,6
Hotel Sogo,S06,2024,Q1,Occupancy,0.58
Hotel Sogo,S06,2024,Q1,NOD,91
Hotel Sogo,S06,2024,Q1,Actual Hours,170122
Hotel Sogo,S06,2024,Q1,Paid Hours,188620
Hotel Sogo,S06,2024,Q1,Room,19034797
Hotel Sogo,S06,2024,Q1,F&B - Rooms,3115793
Hotel Sogo,S06,2024,Q1,F&B - Function,-
Hotel Sogo,S06,2024,Q1,F&B - Outlet,-
Hotel Sogo,S06,2024,Q1,Total Sales,22150590
Hotel Sogo,S06,2024,Q1,Average DRS,614026
Hotel Sogo,S06,2024,Q1,Average DFS,100509
Hotel Sogo,S06,2024,Q1,ADS,243413
Hotel Sogo,S06,2024,Q1,Quarterly Weighted,27
Hotel Sogo,S06,2024,Q2,ANOR,135
Hotel Sogo,S06,2024,Q2,TNOG,32041
Hotel Sogo,S06,2024,Q2,ANOG,352
Hotel Sogo,S06,2024,Q2,TOR,3
Hotel Sogo,S06,2024,Q2,TFBOG,11360
Hotel Sogo,S06,2024,Q2,AFBOG,125
Hotel Sogo,S06,2024,Q2,%FBOG,0.35
Hotel Sogo,S06,2024,Q2,ARPS/G,650
Hotel Sogo,S06,2024,Q2,AFBPS/FBOG,311
Hotel Sogo,S06,2024,Q2,AFPS/G,110
Hotel Sogo,S06,2024,Q2,SPR,1983
Hotel Sogo,S06,2024,Q2,APS/G,760
Hotel Sogo,S06,2024,Q2,HPR,16
Hotel Sogo,S06,2024,Q2,ALOS,6
Hotel Sogo,S06,2024,Q2,Occupancy,0.66
Hotel Sogo,S06,2024,Q2,NOD,91
Hotel Sogo,S06,2024,Q2,Actual Hours,195409
Hotel Sogo,S06,2024,Q2,Paid Hours,214013
Hotel Sogo,S06,2024,Q2,Room,20827529
Hotel Sogo,S06,2024,Q2,F&B - Rooms,3532080
Hotel Sogo,S06,2024,Q2,F&B - Function,-
Hotel Sogo,S06,2024,Q2,F&B - Outlet,-
Hotel Sogo,S06,2024,Q2,Total Sales,24359609
Hotel Sogo,S06,2024,Q2,Average DRS,718191
Hotel Sogo,S06,2024,Q2,Average DFS,121796
Hotel Sogo,S06,2024,Q2,ADS,267688
Hotel Sogo,S06,2024,Q2,Quarterly Weighted,26
Hotel Sogo,S06,2024,Q3,ANOR,135
Hotel Sogo,S06,2024,Q3,TNOG,30753
Hotel Sogo,S06,2024,Q3,ANOG,334
Hotel Sogo,S06,2024,Q3,TOR,2
Hotel Sogo,S06,2024,Q3,TFBOG,10841
Hotel Sogo,S06,2024,Q3,AFBOG,118
Hotel Sogo,S06,2024,Q3,%FBOG,0.35
Hotel Sogo,S06,2024,Q3,ARPS/G,671
Hotel Sogo,S06,2024,Q3,AFBPS/FBOG,316
Hotel Sogo,S06,2024,Q3,AFPS/G,112
Hotel Sogo,S06,2024,Q3,SPR,1938
Hotel Sogo,S06,2024,Q3,APS/G,783
Hotel Sogo,S06,2024,Q3,HPR,15
Hotel Sogo,S06,2024,Q3,ALOS,6
Hotel Sogo,S06,2024,Q3,Occupancy,0.63
